crawler,purpose,robots_access,live_status,waf_or_cdn_result,recommended_action,action_taken,evidence,phase
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
Googlebot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
bingbot,search indexing,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /sitemap.xml,baseline
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /,baseline
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /lessons/performance/,baseline
OAI-SearchBot,AI search,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /assets/social.png,baseline
ChatGPT-User,user-triggered fetch,Allow: / for all; unchanged,200,request allowed,verify genuine provider IPs with logs; UA spoofing does not prove crawler access,read-only probe,raw/baseline-edge.json /robots.txt,baseline
