phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://typescript.robertdevore.com/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,TypeScript release announcement,HTML anchor,200,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/TypeScript/issues/63703,current 7.1 iteration plan,HTML anchor,200,https://github.com/microsoft/TypeScript/issues/63703,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://www.typescriptlang.org/docs/handbook/intro.html,Handbook,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/intro.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/TypeScript/wiki/TypeScript-Design-Goals,Design goals,HTML anchor,200,https://github.com/microsoft/TypeScript/wiki/TypeScript-Design-Goals,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://www.typescriptlang.org/docs/handbook/modules/theory.html,Module theory,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/modules/theory.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://www.typescriptlang.org/docs/handbook/modules/reference.html,module reference,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/modules/reference.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://www.typescriptlang.org/tsconfig/,TSConfig reference,HTML anchor,200,https://www.typescriptlang.org/tsconfig/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://www.typescriptlang.org/docs/handbook/declaration-files/introduction.html,Declaration guidance,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-files/introduction.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/TypeScript,TypeScript repository,HTML anchor,200,https://github.com/microsoft/TypeScript,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/typescript-go/blob/main/CHANGES.md,native changes,HTML anchor,200,https://github.com/microsoft/typescript-go/blob/main/CHANGES.md,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://nodejs.org/docs/latest-v24.x/api/packages.html,Node 24 packages,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/packages.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://nodejs.org/docs/latest-v24.x/api/typescript.html,TypeScript execution,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/typescript.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://tc39.es/ecma262/,ECMAScript specification,HTML anchor,200,https://tc39.es/ecma262/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/tc39/proposals,TC39 proposal tracking,HTML anchor,200,https://github.com/tc39/proposals,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://nodejs.org/docs/latest-v24.x/api/test.html,Node test runner,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/test.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://eslint.org/docs/latest/use/getting-started,ESLint,HTML anchor,200,https://eslint.org/docs/latest/use/getting-started,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://prettier.io/docs/install,Prettier,HTML anchor,200,https://prettier.io/docs/install,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://zod.dev/,Zod,HTML anchor,200,https://zod.dev/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://devblogs.microsoft.com/typescript/typescript-native-port/,Native-port architecture announcement,HTML anchor,200,https://devblogs.microsoft.com/typescript/typescript-native-port/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/typescript-go/commit/12548e2a13b61004a2464686df7cbfe88640bbf9,recursion work,HTML anchor,200,https://github.com/microsoft/typescript-go/commit/12548e2a13b61004a2464686df7cbfe88640bbf9,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/TypeScript/wiki/FAQ,Maintained compiler FAQ,HTML anchor,200,https://github.com/microsoft/TypeScript/wiki/FAQ,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,7.0 release,HTML anchor,200,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/TypeScript/issues/63703,7.1 planning,HTML anchor,200,https://github.com/microsoft/TypeScript/issues/63703,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/typescript-go/commit/01b9e721f3d7f8037d700daff94f5808c1afb97e,Native content-mapper work,HTML anchor,200,https://github.com/microsoft/typescript-go/commit/01b9e721f3d7f8037d700daff94f5808c1afb97e,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/microsoft/typescript-go/commit/16c25522e1230b69b11210cfad066d779e6319ba,Native API test portability work,HTML anchor,200,https://github.com/microsoft/typescript-go/commit/16c25522e1230b69b11210cfad066d779e6319ba,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/tc39/proposals,Proposal process and current tracking,HTML anchor,200,https://github.com/tc39/proposals,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/robertdevore/typescript.robertdevore.com/tree/main/research,in the repository,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com/tree/main/research,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/research/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/course/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/course/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/tracks/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/tracks/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/about/,https://github.com/robertdevore/typescript.robertdevore.com,standalone repository,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/about/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/about/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/about/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/package-consumer/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/package-consumer/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/capstone/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/capstone/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/data-utility/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/data-utility/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/library-cli/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/library-cli/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/application/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/builds/application/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/search/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/search/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/generics/,https://www.typescriptlang.org/docs/handbook/2/generics.html,Generics,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/generics.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/generics/,https://www.typescriptlang.org/docs/handbook/2/functions.html,function type parameters,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/functions.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/generics/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/generics/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/publishing/,https://nodejs.org/docs/latest-v24.x/api/packages.html,Node package exports,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/packages.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/publishing/,https://www.typescriptlang.org/docs/handbook/declaration-files/publishing.html,TypeScript declaration publishing,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-files/publishing.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/publishing/,https://docs.npmjs.com/cli/v11/commands/npm-pack,npm pack,HTML anchor,200,https://docs.npmjs.com/cli/v11/commands/npm-pack/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/publishing/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/publishing/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,https://www.typescriptlang.org/docs/handbook/2/mapped-types.html,Mapped types,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/mapped-types.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,https://www.typescriptlang.org/docs/handbook/utility-types.html,utility types,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/utility-types.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,https://www.typescriptlang.org/docs/handbook/2/objects.html,Object types,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/objects.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,https://www.typescriptlang.org/docs/handbook/declaration-merging.html,declaration merging,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-merging.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/http-clients/,https://nodejs.org/docs/latest-v24.x/api/globals.html,Node globals: fetch,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/globals.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/http-clients/,https://fetch.spec.whatwg.org/,Fetch standard,HTML anchor,200,https://fetch.spec.whatwg.org/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/http-clients/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/http-clients/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,https://www.typescriptlang.org/docs/handbook/intro-to-js-ts.html,JavaScript projects,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/intro-to-js-ts.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,https://www.typescriptlang.org/docs/handbook/declaration-files/dts-from-js.html,declarations from JavaScript,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-files/dts-from-js.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,https://github.com/microsoft/typescript-go/blob/main/CHANGES.md,native compiler changes,HTML anchor,200,https://github.com/microsoft/typescript-go/blob/main/CHANGES.md,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/variance/,https://www.typescriptlang.org/docs/handbook/type-compatibility.html,Type compatibility,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/type-compatibility.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/variance/,https://github.com/microsoft/TypeScript/wiki/FAQ,TypeScript FAQ: method bivariance,HTML anchor,200,https://github.com/microsoft/TypeScript/wiki/FAQ,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/variance/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/variance/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-4-9.html,TypeScript 4.9 satisfies,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-4-9.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,literal inference,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,https://www.typescriptlang.org/docs/handbook/declaration-files/introduction.html,Declaration-file introduction,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-files/introduction.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,https://www.typescriptlang.org/docs/handbook/declaration-files/library-structures.html,library structures,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-files/library-structures.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,https://github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,HTML anchor,200,https://github.com/DefinitelyTyped/DefinitelyTyped,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
