phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/tracks/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/about/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/builds/package-consumer/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/builds/capstone/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/builds/data-utility/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/builds/library-cli/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/builds/application/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/search/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/generics/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/publishing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/http-clients/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/variance/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/compiler-tooling/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/runtime-validation/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/library-design/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/async/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/setup/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/shipping/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/workspaces/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/testing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/architecture/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/runtime-safety/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/structural-typing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/node-application/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/exhaustiveness/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/functions/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/errors-and-null/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/narrowing/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/advanced-design/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
baseline,https://typescript.robertdevore.com/lessons/performance/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
