phase,url,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,sitemap_included,sitemap_lastmod,reason,author,breadcrumbs,broken_external_links,broken_internal_links,content_hash,description_length,duplicate_description,duplicate_title,external_outbound_links,h1,heading_structure,image_count,internal_inbound_links,internal_outbound_links,issues,lang,meta_description,missing_alt,missing_dimensions,modified_date,orphan,page_depth,page_type,published_date,schema_types,source_file,title,title_length,word_count
baseline,https://typescript.robertdevore.com/,200,200,True,,https://typescript.robertdevore.com/,200,True,,,,False,0,0,1074ec07885e9297b304e2d857732b5e84cbb36c40e8b956d17a311d5b7cea98,148,False,False,2,Learn TypeScript.Build appsand libraries.,"[[""h1"", ""Learn TypeScript.Build appsand libraries.""], [""h2"", ""Start with the basics.Build at every stage.""], [""h3"", ""Foundations""], [""h3"", ""The type system""], [""h3"", ""Real applications""], [""h3"", ""Libraries & scale""], [""h3"", ""Advanced & production""], [""h2"", ""Types check your code.Validation checks your data.""], [""h2"", ""Build a jobexecution platform.""]]",0,148,31,"no structured data (opportunity, not search requirement)",en,"A free, self-guided TypeScript course: 36 lessons, five builds, verified examples, and a production capstone. JavaScript underneath. Types above it.",0,0,,False,0,home,,,scripts/build.mjs,Learn TypeScript. Build apps and libraries. · TypeScript Course,63,348
baseline,https://typescript.robertdevore.com/research/,200,200,True,,https://typescript.robertdevore.com/research/,200,True,,,,False,0,0,01a39d234104e6bc4442b387b3ed4445e1dc279049dd2312218600974c5d965d,79,False,False,29,Sources & versions,"[[""h1"", ""Sources & versions""], [""h2"", ""Stable teaching baseline""], [""h2"", ""Authoritative source ledger""], [""h2"", ""Contributor reference lenses""], [""h2"", ""Verification policy""]]",0,100,17,"no structured data (opportunity, not search requirement)",en,"The course's verified TypeScript baseline, evidence ledger, and release status.",0,0,,False,1,research,,,scripts/build.mjs,Sources & versions · TypeScript Course,38,713
baseline,https://typescript.robertdevore.com/labs/browser/,200,200,False,"noindex,follow",https://typescript.robertdevore.com/labs/browser/,200,False,,,,False,0,0,0b84ff98ed3c6a829232d891198f1c37b92d5b348df68750c74112c88f49dd62,0,False,False,0,Check the actual element.,"[[""h1"", ""Check the actual element.""]]",0,1,1,,en,,0,0,,False,2,labs,,,labs/browser/index.html,Browser boundary lab · TypeScript Course,40,42
baseline,https://typescript.robertdevore.com/course/,200,200,True,,https://typescript.robertdevore.com/course/,200,True,,,,False,0,0,acd357178fd4eee35e652732e84641277ed4d8823c79e1014cbf26ffd8897ae3,104,False,False,2,Your TypeScriptlearning path.,"[[""h1"", ""Your TypeScriptlearning path.""], [""h2"", ""Foundations""], [""h2"", ""The type system""], [""h2"", ""Real applications""], [""h2"", ""Libraries & scale""], [""h2"", ""Advanced & production""]]",0,199,58,"no structured data (opportunity, not search requirement)",en,"All 36 TypeScript lessons and five milestone builds in order, with local progress and clear checkpoints.",0,0,,False,1,course,,,scripts/build.mjs,The complete learning path · TypeScript Course,46,310
baseline,https://typescript.robertdevore.com/tracks/,200,200,True,,https://typescript.robertdevore.com/tracks/,200,True,,,,False,0,0,6b730b6e4f4780b000fd2a41b6ee94e7fdfdd60c5520a324a95c145b5a946116,88,False,False,2,Optional specialization tracks,"[[""h1"", ""Optional specialization tracks""], [""h2"", ""Backend TypeScript""], [""h2"", ""Frontend TypeScript""], [""h2"", ""Library engineering""], [""h2"", ""Type-level TypeScript""], [""h2"", ""Tooling & compiler APIs""], [""h2"", ""Monorepo & enterprise TypeScript""]]",0,51,27,"no structured data (opportunity, not search requirement)",en,"Continue into backend, frontend, library, type-level, tooling, or enterprise TypeScript.",0,0,,False,1,tracks,,,scripts/build.mjs,Optional specialization tracks · TypeScript Course,50,529
baseline,https://typescript.robertdevore.com/about/,200,200,True,,https://typescript.robertdevore.com/about/,200,True,,,,False,0,0,21c7a7f1612a1a8acbe10dd4e56620488264d24aa36418f2cf49993e98088ded,69,False,False,4,About the course,"[[""h1"", ""About the course""], [""h2"", ""How to study""], [""h2"", ""Get the runnable course""], [""h2"", ""Find an answer""], [""h2"", ""Progress and privacy""], [""h2"", ""Versions and sources""], [""h2"", ""Author and references""]]",0,99,21,"no structured data (opportunity, not search requirement)",en,How to study this independent TypeScript course and verify your work.,0,0,,False,1,about,,,scripts/build.mjs,About the course · TypeScript Course,36,516
baseline,https://typescript.robertdevore.com/builds/package-consumer/,200,200,True,,https://typescript.robertdevore.com/builds/package-consumer/,200,True,,,,False,0,0,16d25977bde12bcd7b54c0d4f50c4a4677e823a570c3284aec237aed20225b0b,98,False,False,2,Build 4: package & independent consumer,"[[""h1"", ""Build 4: package & independent consumer""], [""h2"", ""The brief""], [""h2"", ""Milestone 1 \u2014 Define the support envelope""], [""h2"", ""Milestone 2 \u2014 Produce both artifacts""], [""h2"", ""Milestone 3 \u2014 Configure package exports""], [""h2"", ""Milestone 4 \u2014 Inspect the tarball""], [""h2"", ""Milestone 5 \u2014 Install outside the workspace""], [""h2"", ""Milestone 6 \u2014 Review compatibility""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Documentation and release notes""], [""h2"", ""Review rubric""], [""h2"", ""Completion checkpoint""]]",0,58,73,"no structured data (opportunity, not search requirement)",en,Prepare a releasable package and prove its runtime and declaration contracts from a fresh install.,0,0,,False,2,builds,,,content/builds/04-package-consumer.md,Build 4: package & independent consumer · TypeScript Course,59,831
baseline,https://typescript.robertdevore.com/builds/capstone/,200,200,True,,https://typescript.robertdevore.com/builds/capstone/,200,True,,,,False,0,0,977e207633f3c4c916e406aa96254d48df8c19ff72de615d046f384b2e4782f2,96,False,False,2,Capstone: typed job execution platform,"[[""h1"", ""Capstone: typed job execution platform""], [""h2"", ""The brief""], [""h2"", ""Deliverables""], [""h2"", ""Milestone 1 \u2014 Model identity and state""], [""h2"", ""Milestone 2 \u2014 Establish runtime contracts""], [""h2"", ""Milestone 3 \u2014 Build the executor""], [""h2"", ""Milestone 4 \u2014 Persist and recover""], [""h2"", ""Milestone 5 \u2014 Expose HTTP and CLI adapters""], [""h2"", ""Milestone 6 \u2014 Package the owned contracts""], [""h2"", ""Milestone 7 \u2014 Own production lifecycle""], [""h2"", ""Milestone 8 \u2014 Release and defend the design""], [""h2"", ""Final review rubric""], [""h2"", ""Diagnostic challenge""], [""h2"", ""Completion checkpoint""]]",0,59,74,"no structured data (opportunity, not search requirement)",en,"Design, implement, test, package, and operate a complete job system through explicit milestones.",0,0,,False,1,builds,,,content/builds/05-capstone.md,Capstone: typed job execution platform · TypeScript Course,58,1343
baseline,https://typescript.robertdevore.com/builds/data-utility/,200,200,True,,https://typescript.robertdevore.com/builds/data-utility/,200,True,,,,False,0,0,938e26414750397b76bb2a52c906e4d8e4bdb346772920876ebb56449f83c602,76,False,False,2,Build 1: command-line data utility,"[[""h1"", ""Build 1: command-line data utility""], [""h2"", ""The brief""], [""h2"", ""Inputs and outputs""], [""h2"", ""Milestone 1 \u2014 Own the toolchain""], [""h2"", ""Milestone 2 \u2014 Parse unknown input""], [""h2"", ""Milestone 3 \u2014 Model outcomes""], [""h2"", ""Milestone 4 \u2014 Verify the process boundary""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Compare after implementation""], [""h2"", ""Review questions""], [""h2"", ""Completion checkpoint""]]",0,57,72,"no structured data (opportunity, not search requirement)",en,"Parse a local job file, reject malformed input, and print an honest summary.",0,0,,False,2,builds,,,content/builds/01-data-utility.md,Build 1: command-line data utility · TypeScript Course,54,881
baseline,https://typescript.robertdevore.com/builds/library-cli/,200,200,True,,https://typescript.robertdevore.com/builds/library-cli/,200,True,,,,False,0,0,607f557349c6a76e875a190a23042f070637ecd4d28bffb9cee867373d162f52,93,False,False,2,Build 2: reusable library & CLI,"[[""h1"", ""Build 2: reusable library & CLI""], [""h2"", ""The brief""], [""h2"", ""Public domain contract""], [""h2"", ""Milestone 1 \u2014 Separate ownership""], [""h2"", ""Milestone 2 \u2014 Use precise results""], [""h2"", ""Milestone 3 \u2014 Add one justified generic""], [""h2"", ""Milestone 4 \u2014 Test runtime contracts""], [""h2"", ""Milestone 5 \u2014 Test type contracts""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Type-checker drill""], [""h2"", ""Compare after implementation""], [""h2"", ""Review rubric""], [""h2"", ""Completion checkpoint""]]",0,58,73,"no structured data (opportunity, not search requirement)",en,"Extract domain behavior, preserve inference, and test both runtime and public type contracts.",0,0,,False,2,builds,,,content/builds/02-library-cli.md,Build 2: reusable library & CLI · TypeScript Course,51,875
