phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/,Skip to content,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/,TypeScript / THE COURSE,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Course,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/reference/,Reference,HTML anchor,200,https://typescript.robertdevore.com/reference/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/about/,About,HTML anchor,200,https://typescript.robertdevore.com/about/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/search/,Search,HTML anchor,200,https://typescript.robertdevore.com/search/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/,Home,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Course,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/reference/,Reference,HTML anchor,200,https://typescript.robertdevore.com/reference/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/about/,About,HTML anchor,200,https://typescript.robertdevore.com/about/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/tracks/,Specialization tracks,HTML anchor,200,https://typescript.robertdevore.com/tracks/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/research/,Sources & versions,HTML anchor,200,https://typescript.robertdevore.com/research/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/search/,Search,HTML anchor,200,https://typescript.robertdevore.com/search/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/setup/,Start learning,HTML anchor,200,https://typescript.robertdevore.com/lessons/setup/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,View all lessons,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Foundations,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/setup/,Start stage,HTML anchor,200,https://typescript.robertdevore.com/lessons/setup/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,The type system,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/structural-typing/,Start stage,HTML anchor,200,https://typescript.robertdevore.com/lessons/structural-typing/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Real applications,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/tsconfig/,Start stage,HTML anchor,200,https://typescript.robertdevore.com/lessons/tsconfig/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Libraries & scale,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/library-design/,Start stage,HTML anchor,200,https://typescript.robertdevore.com/lessons/library-design/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Advanced & production,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/advanced-design/,Start stage,HTML anchor,200,https://typescript.robertdevore.com/lessons/advanced-design/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/lessons/runtime-validation/,Learn runtime validation,HTML anchor,200,https://typescript.robertdevore.com/lessons/runtime-validation/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/builds/capstone/,View the project,HTML anchor,200,https://typescript.robertdevore.com/builds/capstone/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/,TypeScript / The course,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/course/,Learning path,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/research/,Sources & versions,HTML anchor,200,https://typescript.robertdevore.com/research/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/,https://typescript.robertdevore.com/sitemap.xml,Sitemap,HTML anchor,200,https://typescript.robertdevore.com/sitemap.xml,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/research/,Skip to content,HTML anchor,200,https://typescript.robertdevore.com/research/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/,TypeScript / THE COURSE,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/course/,Course,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/reference/,Reference,HTML anchor,200,https://typescript.robertdevore.com/reference/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/about/,About,HTML anchor,200,https://typescript.robertdevore.com/about/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/search/,Search,HTML anchor,200,https://typescript.robertdevore.com/search/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/,Home,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/course/,Course,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/reference/,Reference,HTML anchor,200,https://typescript.robertdevore.com/reference/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/about/,About,HTML anchor,200,https://typescript.robertdevore.com/about/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/tracks/,Specialization tracks,HTML anchor,200,https://typescript.robertdevore.com/tracks/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/research/,Sources & versions,HTML anchor,200,https://typescript.robertdevore.com/research/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/search/,Search,HTML anchor,200,https://typescript.robertdevore.com/search/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/,TypeScript / The course,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/course/,Learning path,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/research/,Sources & versions,HTML anchor,200,https://typescript.robertdevore.com/research/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/research/,https://typescript.robertdevore.com/sitemap.xml,Sitemap,HTML anchor,200,https://typescript.robertdevore.com/sitemap.xml,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/labs/browser/,https://typescript.robertdevore.com/lessons/runtime-safety/,Back to runtime safety,HTML anchor,200,https://typescript.robertdevore.com/lessons/runtime-safety/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/course/,Skip to content,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/,TypeScript / THE COURSE,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/course/,Course,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/reference/,Reference,HTML anchor,200,https://typescript.robertdevore.com/reference/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/about/,About,HTML anchor,200,https://typescript.robertdevore.com/about/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/search/,Search,HTML anchor,200,https://typescript.robertdevore.com/search/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/,Home,HTML anchor,200,https://typescript.robertdevore.com/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/course/,Course,HTML anchor,200,https://typescript.robertdevore.com/course/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/reference/,Reference,HTML anchor,200,https://typescript.robertdevore.com/reference/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/about/,About,HTML anchor,200,https://typescript.robertdevore.com/about/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/tracks/,Specialization tracks,HTML anchor,200,https://typescript.robertdevore.com/tracks/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/research/,Sources & versions,HTML anchor,200,https://typescript.robertdevore.com/research/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/search/,Search,HTML anchor,200,https://typescript.robertdevore.com/search/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/lessons/setup/,01Modern TypeScript setup,HTML anchor,200,https://typescript.robertdevore.com/lessons/setup/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/lessons/values-and-types/,02JavaScript values & TypeScript types,HTML anchor,200,https://typescript.robertdevore.com/lessons/values-and-types/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/lessons/functions/,03Functions & callbacks,HTML anchor,200,https://typescript.robertdevore.com/lessons/functions/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,"04Objects, arrays & tuples",HTML anchor,200,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/lessons/narrowing/,"05Unions, literals & narrowing",HTML anchor,200,https://typescript.robertdevore.com/lessons/narrowing/,0,local target + fragment,,
baseline,https://typescript.robertdevore.com/course/,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,06Interfaces & type aliases,HTML anchor,200,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,0,local target + fragment,,
