phase,url,schema_types,json_ld_blocks,valid_json,visible_match,rich_result_eligible,issues,recommended_action
baseline,https://typescript.robertdevore.com/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/research/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/labs/browser/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/course/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/tracks/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/about/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/builds/package-consumer/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/builds/capstone/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/builds/data-utility/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/builds/library-cli/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/builds/application/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/search/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/generics/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/publishing/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/mapped-types/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/interfaces-and-aliases/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/http-clients/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/javascript-migration/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/variance/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/assertions-const-satisfies/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/declaration-files/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/compiler-tooling/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/runtime-validation/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/library-design/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/async/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/setup/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/shipping/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/workspaces/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/testing/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/objects-arrays-tuples/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/architecture/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/runtime-safety/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/structural-typing/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/node-application/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/exhaustiveness/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/functions/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
baseline,https://typescript.robertdevore.com/lessons/errors-and-null/,,0,True,N/A,not claimed,,describe visible content; no fabricated course eligibility
